Region,Distance (mm),Bus Voltage (V),Shunt Voltage (V),Load Voltage (V),Current (mA),Power (mW),Sensor #
2,1896.10,4.85,0.59,4.85,6.10,30.00,1
2,1891.82,4.83,0.55,4.83,5.70,26.00,2
2,1903.31,4.83,0.72,4.83,7.10,32.00,3
2,1885.47,4.84,0.61,4.84,6.20,30.00,4
2,1884.96,4.86,0.63,4.86,6.10,30.00,1
2,1898.16,4.83,0.58,4.83,5.50,26.00,2
2,1892.50,4.85,0.68,4.85,6.90,32.00,3
2,1887.53,4.85,0.64,4.85,6.20,30.00,4
2,1891.47,4.84,0.61,4.84,6.30,30.00,1
2,1878.10,4.85,0.55,4.85,5.70,26.00,2
2,1880.50,4.81,0.68,4.81,6.80,32.00,3
2,1881.01,4.86,0.64,4.86,6.30,30.00,4
2,1890.10,4.84,0.62,4.84,6.00,30.00,1
2,1885.47,4.84,0.54,4.84,5.60,26.00,2
2,1878.95,4.84,0.67,4.84,6.70,32.00,3
2,1883.24,4.84,0.60,4.84,6.20,30.00,4
2,1877.92,4.86,0.58,4.86,6.00,30.00,1
2,1878.27,4.83,0.58,4.83,5.70,26.00,2
2,1889.42,4.86,0.69,4.86,6.70,32.00,3
2,1880.33,4.85,0.62,4.85,6.30,30.00,4
2,1880.50,4.85,0.60,4.85,6.30,30.00,1
2,1880.84,4.84,0.57,4.84,5.60,26.00,2
2,1878.78,4.82,0.68,4.82,7.00,32.00,3
2,1883.07,4.86,0.63,4.86,6.20,30.00,4
2,1879.30,4.84,0.60,4.84,6.10,30.00,1
2,1878.27,4.85,0.54,4.85,5.40,26.00,2
2,1885.30,4.84,0.70,4.84,7.00,32.00,3
2,1872.27,4.85,0.65,4.85,5.90,30.00,4
2,1888.73,4.86,0.62,4.86,6.00,30.00,1
2,1867.98,4.83,0.55,4.83,5.50,26.00,2
2,1879.64,4.86,0.68,4.86,6.90,32.00,3
2,1869.52,4.84,0.61,4.84,6.10,30.00,4
2,1873.64,4.86,0.62,4.86,6.20,30.00,1
2,1873.29,4.84,0.56,4.84,5.40,26.00,2
2,1871.92,4.85,0.71,4.85,7.00,32.00,3
2,1876.21,4.85,0.61,4.85,6.20,30.00,4
2,1866.61,4.84,0.62,4.84,5.90,32.00,1
2,1871.24,4.85,0.57,4.85,5.30,26.00,2
2,1870.55,4.81,0.69,4.81,6.80,32.00,3
2,1861.80,4.86,0.63,4.86,6.40,30.00,4
2,1886.50,4.84,0.61,4.84,6.20,30.00,1
2,1873.47,4.84,0.53,4.84,5.70,26.00,2
2,1871.41,4.83,0.68,4.83,6.80,32.00,3
2,1857.69,4.84,0.60,4.84,6.10,30.00,4
2,1892.16,4.86,0.61,4.86,6.50,32.00,1
2,1861.63,4.83,0.54,4.83,5.60,26.00,2
2,1882.21,4.84,0.69,4.84,6.90,32.00,3
2,1856.32,4.85,0.62,4.85,6.30,30.00,4
2,1877.41,4.84,0.64,4.84,6.30,30.00,1
2,1868.49,4.84,0.55,4.84,5.50,26.00,2
2,1875.35,4.84,0.68,4.84,6.80,32.00,3
2,1866.61,4.86,0.61,4.86,6.30,30.00,4
2,1861.80,4.84,0.61,4.84,6.10,30.00,1
2,1858.03,4.84,0.54,4.84,5.50,26.00,2
2,1864.89,4.84,0.68,4.84,6.80,32.00,3
2,1851.86,4.84,0.61,4.84,6.30,30.00,4
2,1860.09,4.86,0.60,4.86,6.20,30.00,1
2,1864.72,4.83,0.58,4.83,5.50,26.00,2
2,1854.43,4.84,0.70,4.84,6.90,32.00,3
2,1863.52,4.84,0.61,4.84,6.10,30.00,4
2,1854.94,4.85,0.62,4.85,6.40,30.00,1
2,1858.89,4.84,0.57,4.84,5.70,26.00,2
2,1865.92,4.81,0.68,4.81,6.90,32.00,3
2,1848.26,4.86,0.62,4.86,6.30,30.00,4
2,1882.56,4.84,0.61,4.84,6.10,30.00,1
2,1847.74,4.85,0.54,4.85,5.70,26.00,2
2,1858.89,4.82,0.67,4.82,6.70,32.00,3
2,1846.20,4.85,0.63,4.85,6.00,30.00,4
2,1858.20,4.86,0.64,4.86,6.10,30.00,1
2,1849.46,4.83,0.55,4.83,5.30,26.00,2
2,1868.66,4.86,0.68,4.86,7.00,32.00,3
2,1855.80,4.84,0.62,4.84,6.20,30.00,4
2,1863.52,4.86,0.62,4.86,6.30,30.00,1
2,1850.31,4.84,0.57,4.84,5.50,26.00,2
2,1853.23,4.84,0.66,4.84,6.70,32.00,3
2,1844.31,4.86,0.61,4.86,6.10,30.00,4
2,1861.12,4.84,0.63,4.84,6.00,30.00,1
2,1852.20,4.85,0.55,4.85,5.70,26.00,2
2,1850.31,4.84,0.66,4.84,6.80,32.00,3
2,1837.45,4.85,0.61,4.85,6.10,30.00,4
2,1845.34,4.86,0.60,4.86,6.20,30.00,1
2,1845.51,4.83,0.57,4.83,5.60,26.00,2
2,1843.63,4.84,0.70,4.84,6.60,32.00,3
2,1835.74,4.84,0.63,4.84,6.10,30.00,4
2,1860.09,4.86,0.63,4.86,6.10,30.00,1
2,1844.14,4.84,0.55,4.84,5.60,26.00,2
2,1850.66,4.84,0.68,4.84,7.20,36.00,3
2,1838.14,4.86,0.60,4.86,6.10,30.00,4
2,1850.31,4.84,0.63,4.84,6.30,30.00,1
2,1837.62,4.85,0.54,4.85,5.50,26.00,2
2,1834.54,4.82,0.70,4.82,6.70,32.00,3
2,1835.05,4.85,0.60,4.85,6.20,30.00,4
2,1837.45,4.86,0.62,4.86,6.20,30.00,1
2,1833.16,4.82,0.57,4.82,5.70,26.00,2
2,1831.11,4.85,0.68,4.85,6.90,32.00,3
2,1826.65,4.84,0.59,4.84,6.20,30.00,4
2,1860.95,4.86,0.61,4.86,6.30,30.00,1
2,1839.68,4.84,0.53,4.84,5.40,26.00,2
2,1837.45,4.84,0.67,4.84,6.80,32.00,3
2,1824.76,4.86,0.61,4.86,6.00,30.00,4
2,1837.79,4.84,0.60,4.84,6.30,30.00,1
2,1829.56,4.84,0.56,4.84,5.50,26.00,2
2,1835.91,4.83,0.68,4.83,6.60,32.00,3
2,1836.59,4.84,0.62,4.84,6.00,30.00,4
2,1830.25,4.86,0.64,4.86,6.20,30.00,1
2,1834.54,4.83,0.54,4.83,5.50,26.00,2
2,1824.07,4.85,0.67,4.85,6.80,32.00,3
2,1819.27,4.85,0.61,4.85,6.30,30.00,4
2,1849.63,4.84,0.63,4.84,6.20,30.00,1
2,1824.42,4.85,0.58,4.85,5.40,26.00,2
2,1822.02,4.84,0.69,4.84,7.10,32.00,3
2,1818.59,4.86,0.62,4.86,6.30,30.00,4
2,1825.10,4.84,0.62,4.84,5.90,30.00,1
2,1830.08,4.84,0.54,4.84,5.50,30.00,2
2,1823.90,4.86,0.68,4.86,6.50,32.00,3
2,1815.67,4.84,0.61,4.84,6.10,30.00,4
2,1845.34,4.86,0.61,4.86,6.40,30.00,1
2,1819.10,4.83,0.55,4.83,5.50,26.00,2
2,1817.39,4.84,0.72,4.84,6.90,32.00,3
2,1825.79,4.86,0.63,4.86,6.30,30.00,4
2,1824.25,4.84,0.64,4.84,6.30,30.00,1
2,1837.62,4.85,0.55,4.85,5.90,30.00,2
2,1819.79,4.82,0.68,4.82,7.00,32.00,3
2,1806.75,4.85,0.61,4.85,6.20,30.00,4
2,1823.04,4.86,0.62,4.86,6.30,30.00,1
2,1813.61,4.83,0.56,4.83,5.60,26.00,2
2,1816.36,4.86,0.69,4.86,7.10,36.00,3
2,1808.30,4.84,0.60,4.84,6.00,30.00,4
2,1816.36,4.85,0.61,4.85,6.10,30.00,1
2,1810.87,4.84,0.56,4.84,5.90,26.00,2
2,1808.98,4.84,0.69,4.84,6.60,32.00,3
2,1814.81,4.86,0.62,4.86,6.20,30.00,4
2,1813.44,4.84,0.61,4.84,6.20,30.00,1
2,1809.50,4.84,0.57,4.84,5.30,26.00,2
2,1806.07,4.86,0.70,4.86,6.80,32.00,3
2,1806.07,4.84,0.62,4.84,6.10,30.00,4
2,1828.02,4.86,0.61,4.86,6.20,30.00,1
2,1801.78,4.84,0.56,4.84,5.70,26.00,2
2,1807.61,4.82,0.69,4.82,7.00,32.00,3
2,1799.21,4.86,0.63,4.86,6.20,30.00,4
2,1816.87,4.84,0.62,4.84,6.10,30.00,1
2,1812.76,4.85,0.57,4.85,5.70,26.00,2
2,1813.96,4.82,0.69,4.82,6.80,32.00,3
2,1805.72,4.84,0.62,4.84,6.20,30.00,4
