Region,Distance (mm),Bus Voltage (V),Shunt Voltage (V),Load Voltage (V),Current (mA),Power (mW),Sensor #
2,1232.91,4.86,0.60,4.86,6.10,32.00,4
2,1237.37,4.85,0.54,4.85,5.40,26.00,1
2,1230.51,4.86,0.69,4.86,7.00,32.00,2
2,1230.51,4.85,0.65,4.85,6.30,30.00,3
2,1238.06,4.85,0.62,4.85,6.20,30.00,4
2,1232.74,4.85,0.52,4.85,5.40,26.00,1
2,1231.54,4.86,0.71,4.86,6.90,32.00,2
2,1226.91,4.86,0.62,4.86,6.30,30.00,3
2,1230.00,4.85,0.60,4.85,6.20,30.00,4
2,1234.63,4.84,0.53,4.84,5.60,26.00,1
2,1224.00,4.86,0.71,4.86,7.10,32.00,2
2,1224.17,4.86,0.61,4.86,6.00,30.00,3
2,1225.71,4.86,0.60,4.86,6.10,30.00,4
2,1248.86,4.84,0.55,4.84,5.50,26.00,1
2,1224.51,4.84,0.70,4.84,7.00,36.00,2
2,1242.35,4.87,0.59,4.87,6.20,30.00,3
2,1223.48,4.86,0.62,4.86,5.90,30.00,4
2,1232.40,4.84,0.55,4.84,5.70,26.00,1
2,1217.14,4.82,0.68,4.82,6.90,32.00,2
2,1221.94,4.85,0.62,4.85,6.50,30.00,3
2,1220.39,4.86,0.60,4.86,6.10,30.00,4
2,1220.57,4.86,0.54,4.86,5.50,26.00,1
2,1218.85,4.86,0.70,4.86,6.90,32.00,2
2,1218.85,4.85,0.63,4.85,6.30,30.00,3
2,1213.02,4.85,0.60,4.85,6.10,30.00,4
2,1222.28,4.85,0.56,4.85,5.40,26.00,1
2,1211.48,4.85,0.69,4.85,6.90,36.00,2
2,1211.30,4.85,0.63,4.85,6.10,30.00,3
2,1214.39,4.85,0.62,4.85,6.20,30.00,4
2,1227.60,4.84,0.55,4.84,5.60,26.00,1
2,1208.05,4.86,0.68,4.86,7.20,36.00,2
2,1212.68,4.87,0.61,4.87,6.40,30.00,3
2,1215.42,4.86,0.59,4.86,6.10,30.00,4
2,1215.25,4.84,0.54,4.84,5.50,26.00,1
2,1204.79,4.84,0.72,4.84,6.90,36.00,2
2,1222.28,4.86,0.61,4.86,6.20,30.00,3
2,1203.42,4.86,0.60,4.86,6.10,30.00,4
2,1216.45,4.85,0.57,4.85,5.60,26.00,1
2,1201.53,4.85,0.68,4.85,6.90,32.00,2
2,1210.28,4.85,0.60,4.85,6.20,30.00,3
2,1209.25,4.86,0.61,4.86,6.30,30.00,4
2,1238.92,4.85,0.56,4.85,5.80,26.00,1
2,1206.85,4.86,0.69,4.86,7.00,32.00,2
2,1193.47,4.85,0.63,4.85,6.20,30.00,3
2,1200.84,4.85,0.64,4.85,6.30,30.00,4
2,1222.79,4.84,0.55,4.84,5.60,30.00,1
2,1203.76,4.87,0.71,4.87,7.00,32.00,2
2,1195.01,4.86,0.62,4.86,6.20,30.00,3
2,1198.61,4.85,0.62,4.85,6.20,30.00,4
2,1219.88,4.84,0.55,4.84,5.80,26.00,1
2,1196.56,4.85,0.71,4.85,7.20,32.00,2
2,1187.98,4.87,0.63,4.87,6.20,30.00,3
2,1199.47,4.86,0.62,4.86,6.40,30.00,4
2,1199.99,4.84,0.56,4.84,5.90,26.00,1
2,1188.84,4.84,0.72,4.84,7.10,32.00,2
2,1193.47,4.86,0.61,4.86,6.30,30.00,3
2,1197.76,4.86,0.62,4.86,6.10,30.00,4
2,1196.21,4.85,0.56,4.85,5.50,26.00,1
2,1185.75,4.86,0.71,4.86,6.80,32.00,2
2,1185.92,4.85,0.62,4.85,6.00,30.00,3
2,1197.41,4.85,0.64,4.85,6.10,30.00,4
2,1193.64,4.85,0.55,4.85,5.40,26.00,1
2,1195.70,4.87,0.70,4.87,7.00,32.00,2
2,1191.24,4.86,0.63,4.86,6.00,30.00,3
2,1185.06,4.85,0.61,4.85,6.00,30.00,4
2,1195.18,4.84,0.53,4.84,5.50,26.00,1
2,1179.06,4.86,0.69,4.86,7.10,36.00,2
2,1183.35,4.86,0.62,4.86,6.10,30.00,3
2,1190.72,4.86,0.61,4.86,6.10,30.00,4
2,1186.09,4.84,0.57,4.84,5.50,26.00,1
2,1184.38,4.85,0.70,4.85,6.80,32.00,2
2,1188.84,4.86,0.63,4.86,6.30,30.00,3
2,1173.92,4.86,0.61,4.86,6.20,30.00,4
2,1186.95,4.86,0.54,4.86,5.60,26.00,1
2,1176.15,4.86,0.70,4.86,7.20,32.00,2
2,1171.69,4.85,0.61,4.85,6.00,30.00,3
2,1174.60,4.85,0.62,4.85,6.10,30.00,4
2,1193.64,4.84,0.57,4.84,5.30,26.00,1
2,1177.69,4.86,0.71,4.86,7.10,32.00,2
2,1168.77,4.86,0.63,4.86,6.00,30.00,3
2,1162.60,4.85,0.59,4.85,6.20,30.00,4
2,1176.32,4.84,0.54,4.84,5.50,26.00,1
2,1165.69,4.86,0.69,4.86,7.10,36.00,2
2,1174.78,4.86,0.63,4.86,6.00,30.00,3
2,1164.48,4.86,0.60,4.86,6.00,30.00,4
2,1173.75,4.85,0.55,4.85,5.70,26.00,1
2,1168.77,4.86,0.71,4.86,6.90,32.00,2
2,1164.66,4.85,0.63,4.85,6.10,30.00,3
2,1158.83,4.86,0.61,4.86,6.10,30.00,4
2,1166.89,4.85,0.55,4.85,5.30,26.00,1
2,1165.17,4.85,0.69,4.85,7.00,32.00,2
2,1160.37,4.86,0.61,4.86,6.20,30.00,3
2,1158.31,4.85,0.61,4.85,6.20,30.00,4
2,1167.74,4.84,0.53,4.84,5.80,26.00,1
2,1157.28,4.86,0.68,4.86,6.70,32.00,2
2,1156.94,4.86,0.61,4.86,6.10,30.00,3
2,1155.22,4.86,0.60,4.86,5.90,30.00,4
2,1173.23,4.84,0.55,4.84,5.20,26.00,1
2,1153.51,4.86,0.69,4.86,6.90,32.00,2
2,1158.31,4.86,0.60,4.86,6.20,30.00,3
2,1173.40,4.86,0.60,4.86,6.10,30.00,4
2,1169.63,4.85,0.54,4.85,5.60,26.00,1
2,1149.91,4.85,0.71,4.85,7.10,36.00,2
2,1149.74,4.85,0.60,4.85,6.00,30.00,3
2,1143.73,4.85,0.63,4.85,6.10,30.00,4
2,1175.46,4.84,0.56,4.84,5.50,26.00,1
2,1148.02,4.87,0.75,4.87,6.90,36.00,2
2,1152.99,4.86,0.61,4.86,6.30,30.00,3
2,1155.22,4.85,0.60,4.85,6.40,30.00,4
2,1155.57,4.84,0.57,4.84,5.40,26.00,1
2,1154.02,4.86,0.71,4.86,6.90,32.00,2
2,1145.45,4.86,0.63,4.86,6.40,30.00,3
2,1156.77,4.86,0.59,4.86,6.00,30.00,4
2,1174.26,4.85,0.54,4.85,5.60,26.00,1
2,1151.79,4.84,0.71,4.84,7.00,32.00,2
2,1142.19,4.84,0.63,4.84,5.90,30.00,3
2,1135.84,4.84,0.61,4.84,6.00,30.00,4
2,1145.11,4.84,0.54,4.84,5.70,26.00,1
2,1143.22,4.80,0.71,4.80,7.10,32.00,2
2,1147.68,4.86,0.61,4.86,6.10,30.00,3
2,1136.53,4.84,0.61,4.84,6.10,30.00,4
2,1172.03,4.83,0.56,4.83,5.60,26.00,1
2,1144.42,4.82,0.70,4.82,7.10,32.00,2
2,1135.67,4.86,0.60,4.86,6.30,30.00,3
2,1142.88,4.86,0.62,4.86,6.30,30.00,4
2,1142.88,4.84,0.56,4.84,5.60,26.00,1
2,1133.10,4.80,0.68,4.80,6.90,32.00,2
2,1133.27,4.84,0.58,4.84,6.00,30.00,3
2,1140.47,4.85,0.63,4.85,5.90,30.00,4
2,1136.19,4.84,0.56,4.84,5.50,26.00,1
2,1134.64,4.83,0.68,4.83,7.10,32.00,2
2,1133.10,4.86,0.63,4.86,6.20,30.00,3
2,1140.30,4.84,0.60,4.84,6.20,30.00,4
2,1136.02,4.83,0.55,4.83,5.30,26.00,1
2,1138.25,4.84,0.71,4.84,6.90,32.00,2
2,1130.18,4.86,0.62,4.86,6.00,30.00,3
2,1121.78,4.86,0.61,4.86,6.20,30.00,4
2,1133.44,4.84,0.54,4.84,5.50,26.00,1
2,1129.16,4.80,0.69,4.80,7.10,32.00,2
2,1127.96,4.84,0.63,4.84,6.00,30.00,3
2,1133.44,4.85,0.60,4.85,6.10,30.00,4
2,1147.16,4.84,0.55,4.84,5.70,30.00,1
2,1120.92,4.84,0.71,4.84,6.90,36.00,2
2,1126.24,4.86,0.61,4.86,6.20,30.00,3
2,1119.90,4.84,0.60,4.84,6.30,30.00,4
2,1131.90,4.83,0.55,4.83,5.70,26.00,1
2,1121.78,4.81,0.69,4.81,7.00,32.00,2
2,1122.12,4.85,0.60,4.85,6.30,30.00,3
2,1115.44,4.86,0.62,4.86,6.10,30.00,4
2,1121.10,4.85,0.54,4.85,5.70,26.00,1
2,1119.55,4.82,0.71,4.82,7.00,32.00,2
2,1113.89,4.84,0.61,4.84,5.90,30.00,3
2,1112.35,4.84,0.59,4.84,6.10,30.00,4
2,1121.95,4.84,0.57,4.84,5.70,26.00,1
2,1107.55,4.82,0.69,4.82,6.90,32.00,2
2,1129.16,4.86,0.62,4.86,6.10,30.00,3
2,1121.95,4.85,0.62,4.85,6.10,30.00,4
2,1113.04,4.84,0.55,4.84,5.30,26.00,1
2,1116.98,4.81,0.69,4.81,7.00,32.00,2
2,1108.23,4.84,0.62,4.84,6.20,30.00,3
2,1114.92,4.86,0.61,4.86,6.10,30.00,4
2,1135.50,4.85,0.55,4.85,5.60,26.00,1
2,1113.55,4.83,0.71,4.83,7.10,32.00,2
2,1119.38,4.85,0.62,4.85,5.90,30.00,3
2,1117.67,4.84,0.61,4.84,5.90,30.00,4
2,1109.26,4.84,0.53,4.84,5.50,26.00,1
2,1106.52,4.83,0.70,4.83,6.90,32.00,2
2,1107.89,4.86,0.61,4.86,6.20,30.00,3
2,1097.26,4.86,0.62,4.86,6.10,30.00,4
2,1109.60,4.85,0.53,4.85,5.40,26.00,1
2,1112.01,4.82,0.70,4.82,6.90,32.00,2
2,1104.29,4.84,0.64,4.84,6.30,30.00,3
2,1098.11,4.84,0.60,4.84,6.20,30.00,4
2,1130.70,4.85,0.56,4.85,5.30,26.00,1
2,1109.09,4.83,0.72,4.83,7.30,32.00,2
2,1092.97,4.86,0.63,4.86,6.30,30.00,3
2,1094.00,4.85,0.60,4.85,6.30,30.00,4
2,1121.10,4.84,0.56,4.84,5.80,30.00,1
2,1107.20,4.84,0.70,4.84,7.00,32.00,2
2,1094.17,4.85,0.63,4.85,6.40,30.00,3
2,1100.17,4.86,0.58,4.86,6.00,30.00,4
2,1123.15,4.85,0.55,4.85,5.40,26.00,1
2,1086.45,4.86,0.69,4.86,7.00,32.00,2
2,1094.17,4.85,0.60,4.85,6.00,30.00,3
2,1093.31,4.84,0.60,4.84,5.90,30.00,4
2,1111.49,4.84,0.56,4.84,5.50,26.00,1
2,1087.14,4.83,0.68,4.83,7.00,32.00,2
2,1096.57,4.86,0.61,4.86,6.00,30.00,3
2,1107.55,4.86,0.64,4.86,6.20,30.00,4
2,1098.63,4.85,0.55,4.85,5.50,26.00,1
2,1097.43,4.82,0.67,4.82,7.00,32.00,2
2,1088.85,4.84,0.61,4.84,6.20,30.00,3
2,1081.82,4.84,0.60,4.84,6.00,30.00,4
2,1096.91,4.85,0.55,4.85,5.70,26.00,1
2,1090.74,4.85,0.71,4.85,6.90,32.00,2
2,1089.88,4.86,0.60,4.86,6.20,30.00,3
2,1089.71,4.86,0.61,4.86,6.10,30.00,4
2,1090.05,4.84,0.57,4.84,5.40,26.00,1
2,1074.79,4.83,0.68,4.83,6.80,32.00,2
2,1079.25,4.84,0.62,4.84,6.30,30.00,3
2,1081.14,4.85,0.62,4.85,6.10,30.00,4
2,1083.02,4.85,0.57,4.85,5.60,26.00,1
2,1075.48,4.84,0.69,4.84,7.10,32.00,2
2,1081.14,4.86,0.62,4.86,6.00,30.00,3
2,1074.45,4.85,0.62,4.85,6.20,30.00,4
2,1088.34,4.84,0.55,4.84,5.60,26.00,1
2,1082.17,4.82,0.67,4.82,7.10,32.00,2
2,1081.65,4.85,0.64,4.85,6.20,30.00,3
2,1076.51,4.86,0.61,4.86,6.20,30.00,4
2,1081.65,4.86,0.55,4.86,5.50,26.00,1
2,1079.25,4.83,0.68,4.83,7.00,32.00,2
2,1070.67,4.85,0.63,4.85,6.10,30.00,3
2,1072.90,4.84,0.61,4.84,6.20,30.00,4
2,1077.88,4.84,0.56,4.84,5.30,26.00,1
2,1071.88,4.80,0.70,4.80,7.00,32.00,2
2,1071.88,4.86,0.63,4.86,6.30,30.00,3
2,1073.08,4.86,0.62,4.86,6.00,30.00,4
2,1087.31,4.86,0.54,4.86,5.60,26.00,1
2,1071.53,4.82,0.71,4.82,6.60,32.00,2
2,1068.44,4.84,0.61,4.84,6.10,30.00,3
2,1066.56,4.84,0.62,4.84,6.30,30.00,4
2,1088.68,4.84,0.53,4.84,5.50,26.00,1
2,1060.56,4.81,0.69,4.81,7.00,32.00,2
2,1065.36,4.86,0.61,4.86,6.30,30.00,3
2,1062.96,4.86,0.60,4.86,6.20,30.00,4
2,1063.64,4.85,0.55,4.85,5.40,26.00,1
2,1057.47,4.84,0.69,4.84,6.80,32.00,2
2,1057.47,4.84,0.61,4.84,6.00,30.00,3
2,1058.67,4.84,0.62,4.84,6.00,30.00,4
2,1064.84,4.84,0.56,4.84,5.20,26.00,1
2,1058.67,4.82,0.70,4.82,7.10,32.00,2
2,1059.01,4.86,0.63,4.86,6.10,30.00,3
2,1056.78,4.86,0.61,4.86,5.80,30.00,4
2,1062.10,4.85,0.56,4.85,5.20,26.00,1
2,1065.02,4.82,0.70,4.82,6.90,32.00,2
2,1048.38,4.84,0.62,4.84,6.20,30.00,3
2,1051.47,4.84,0.63,4.84,6.10,30.00,4
2,1068.96,4.84,0.54,4.84,5.50,26.00,1
2,1064.33,4.77,0.69,4.77,7.20,36.00,2
2,1054.90,4.86,0.61,4.86,6.20,30.00,3
2,1053.87,4.86,0.63,4.86,6.20,30.00,4
2,1054.38,4.85,0.55,4.85,5.60,26.00,1
2,1052.67,4.78,0.71,4.78,6.80,32.00,2
2,1044.09,4.84,0.63,4.84,6.10,30.00,3
2,1042.72,4.84,0.57,4.84,6.00,30.00,4
2,1060.73,4.84,0.57,4.84,5.50,26.00,1
2,1054.55,4.81,0.70,4.81,6.90,32.00,2
2,1063.13,4.86,0.61,4.86,6.10,30.00,3
2,1044.09,4.86,0.61,4.86,6.40,30.00,4
2,1038.95,4.84,0.53,4.84,5.40,26.00,1
2,1032.43,4.82,0.70,4.82,6.80,32.00,2
2,1030.03,4.84,0.61,4.84,6.10,30.00,3
2,1047.18,4.84,0.62,4.84,6.10,30.00,4
2,1033.63,4.84,0.57,4.84,5.50,26.00,1
2,1040.49,4.83,0.68,4.83,7.00,32.00,2
2,1034.83,4.86,0.62,4.86,6.00,30.00,3
2,1057.98,4.86,0.61,4.86,5.90,30.00,4
2,1034.32,4.84,0.55,4.84,5.40,26.00,1
2,1033.63,4.83,0.66,4.83,6.70,32.00,2
2,1033.63,4.84,0.61,4.84,6.30,30.00,3
2,1035.00,4.84,0.60,4.84,6.10,30.00,4
2,1060.73,4.84,0.56,4.84,5.40,30.00,1
2,1031.06,4.85,0.70,4.85,7.00,32.00,2
2,1032.26,4.86,0.63,4.86,6.10,30.00,3
2,1041.01,4.86,0.61,4.86,6.00,30.00,4
2,1033.63,4.84,0.52,4.84,5.50,26.00,1
2,1032.77,4.84,0.67,4.84,6.80,32.00,2
2,1033.80,4.84,0.61,4.84,6.00,30.00,3
2,1029.86,4.84,0.61,4.84,6.20,30.00,4
2,1057.30,4.84,0.55,4.84,5.60,26.00,1
2,1031.23,4.85,0.70,4.85,6.90,32.00,2
2,1027.97,4.86,0.60,4.86,6.10,30.00,3
2,1040.83,4.86,0.62,4.86,5.90,30.00,4
2,1033.97,4.84,0.56,4.84,5.50,26.00,1
2,1028.83,4.80,0.69,4.80,6.90,32.00,2
2,1025.23,4.84,0.62,4.84,6.20,30.00,3
2,1017.17,4.84,0.61,4.84,6.00,30.00,4
2,1040.15,4.84,0.54,4.84,5.50,26.00,1
2,1034.66,4.82,0.70,4.82,7.00,32.00,2
2,1027.46,4.86,0.62,4.86,6.20,30.00,3
2,1027.63,4.86,0.60,4.86,6.00,30.00,4
2,1033.29,4.85,0.56,4.85,5.30,26.00,1
2,1023.68,4.80,0.72,4.80,6.90,32.00,2
2,1024.88,4.84,0.61,4.84,6.20,30.00,3
2,1037.57,4.84,0.59,4.84,6.20,30.00,4
2,1047.86,4.84,0.56,4.84,5.50,26.00,1
2,1029.51,4.82,0.69,4.82,7.00,32.00,2
2,1026.43,4.86,0.61,4.86,6.10,30.00,3
2,1018.20,4.86,0.60,4.86,6.20,30.00,4
2,1045.64,4.85,0.54,4.85,5.30,26.00,1
2,1023.85,4.80,0.68,4.80,6.80,32.00,2
2,1021.80,4.84,0.62,4.84,6.00,30.00,3
2,1007.91,4.84,0.62,4.84,6.00,30.00,4
2,1039.12,4.84,0.53,4.84,5.60,26.00,1
2,1016.82,4.84,0.72,4.84,7.10,32.00,2
2,1022.65,4.86,0.61,4.86,6.20,30.00,3
2,1013.74,4.86,0.61,4.86,6.20,30.00,4
2,1032.26,4.85,0.57,4.85,5.30,26.00,1
2,1018.71,4.83,0.70,4.83,7.20,32.00,2
2,1015.45,4.84,0.63,4.84,6.40,30.00,3
2,1010.99,4.84,0.59,4.84,6.20,30.00,4
2,1017.00,4.83,0.56,4.83,5.40,26.00,1
2,1007.56,4.83,0.73,4.83,6.90,32.00,2
2,1013.05,4.86,0.63,4.86,6.10,30.00,3
2,1013.05,4.86,0.62,4.86,6.20,30.00,4
2,1028.66,4.85,0.55,4.85,5.60,26.00,1
2,1009.45,4.80,0.71,4.80,7.00,32.00,2
2,1006.19,4.85,0.63,4.85,5.80,30.00,3
2,1010.82,4.84,0.61,4.84,6.20,30.00,4
2,1020.77,4.83,0.54,4.83,5.70,26.00,1
2,998.99,4.80,0.69,4.80,7.00,32.00,2
2,1012.54,4.85,0.63,4.85,6.10,30.00,3
2,1011.51,4.86,0.61,4.86,5.90,30.00,4
2,1034.66,4.85,0.56,4.85,5.40,26.00,1
2,995.21,4.82,0.73,4.82,7.10,32.00,2
2,1000.36,4.86,0.63,4.86,6.30,30.00,3
2,1000.70,4.84,0.62,4.84,6.20,30.00,4
2,1028.83,4.83,0.56,4.83,5.40,26.00,1
2,997.10,4.75,0.69,4.75,7.10,32.00,2
2,998.47,4.84,0.60,4.84,6.30,30.00,3
2,1010.99,4.85,0.60,4.85,6.40,30.00,4
2,1017.00,4.85,0.57,4.85,5.60,26.00,1
2,1003.10,4.80,0.71,4.80,6.90,32.00,2
2,996.24,4.86,0.61,4.86,6.10,30.00,3
2,991.27,4.85,0.61,4.85,6.10,30.00,4
2,1002.42,4.84,0.55,4.84,5.50,26.00,1
2,988.53,4.78,0.69,4.78,6.90,32.00,2
2,994.36,4.84,0.61,4.84,6.10,30.00,3
2,990.07,4.84,0.62,4.84,6.10,30.00,4
2,1000.53,4.84,0.54,4.84,5.50,26.00,1
2,998.47,4.80,0.66,4.80,6.90,32.00,2
2,995.56,4.86,0.63,4.86,6.30,30.00,3
2,994.87,4.86,0.64,4.86,6.10,30.00,4
2,996.76,4.85,0.52,4.85,5.50,26.00,1
2,982.35,4.73,0.70,4.73,7.10,32.00,2
2,983.55,4.84,0.62,4.84,6.10,30.00,3
2,987.50,4.84,0.59,4.84,6.00,30.00,4
2,989.38,4.84,0.58,4.84,5.70,26.00,1
2,984.07,4.78,0.70,4.78,6.90,32.00,2
2,989.55,4.85,0.61,4.85,6.10,30.00,3
2,989.55,4.86,0.59,4.86,6.30,30.00,4
2,999.67,4.85,0.54,4.85,5.50,26.00,1
2,985.44,4.80,0.71,4.80,6.80,32.00,2
2,982.01,4.85,0.61,4.85,6.20,30.00,3
2,982.01,4.84,0.62,4.84,6.10,30.00,4
2,1009.45,4.84,0.53,4.84,5.50,26.00,1
2,974.63,4.78,0.68,4.78,6.60,32.00,2
2,984.75,4.84,0.61,4.84,6.30,30.00,3
2,992.98,4.85,0.61,4.85,6.10,30.00,4
2,1011.85,4.85,0.54,4.85,5.60,26.00,1
2,977.21,4.80,0.70,4.80,7.00,32.00,2
2,986.64,4.86,0.61,4.86,6.20,30.00,3
2,986.30,4.86,0.60,4.86,5.80,30.00,4
2,992.64,4.84,0.57,4.84,5.60,26.00,1
2,974.63,4.79,0.69,4.79,7.00,32.00,2
2,980.29,4.84,0.63,4.84,6.10,30.00,3
2,975.66,4.84,0.62,4.84,5.80,30.00,4
2,982.18,4.84,0.55,4.84,5.80,30.00,1
2,980.98,4.77,0.70,4.77,7.10,32.00,2
2,978.06,4.86,0.63,4.86,6.40,30.00,3
2,977.89,4.86,0.59,4.86,6.20,30.00,4
2,984.24,4.86,0.56,4.86,5.50,26.00,1
2,967.26,4.74,0.69,4.74,6.90,32.00,2
2,981.49,4.85,0.62,4.85,6.10,30.00,3
2,976.52,4.84,0.61,4.84,6.00,30.00,4
2,978.58,4.84,0.55,4.84,5.60,26.00,1
2,968.97,4.78,0.70,4.78,6.80,32.00,2
2,973.78,4.84,0.62,4.84,6.20,30.00,3
2,973.09,4.85,0.62,4.85,6.20,30.00,4
2,987.84,4.85,0.57,4.85,5.50,26.00,1
2,969.66,4.79,0.71,4.79,6.90,32.00,2
2,971.03,4.86,0.60,4.86,6.20,30.0,3
1,981.15,4.86,0.62,4.86,6.00,30.00,4
1,956.28,4.84,0.55,4.84,5.40,26.00,1
1,960.40,4.84,0.71,4.84,7.10,32.00,2
1,956.28,4.84,0.60,4.84,6.20,30.00,3
1,963.32,4.84,0.60,4.84,6.20,30.00,4
1,962.97,4.84,0.55,4.84,5.30,26.00,1
1,957.31,4.85,0.68,4.85,6.90,32.00,2
1,957.31,4.86,0.61,4.86,6.00,30.00,3
1,965.03,4.86,0.60,4.86,5.90,30.00,4
1,954.91,4.86,0.56,4.86,5.30,26.00,1
1,960.57,4.83,0.71,4.83,7.00,32.00,2
1,948.05,4.86,0.64,4.86,6.30,30.00,3
1,957.48,4.85,0.61,4.85,6.00,30.00,4
1,958.51,4.84,0.55,4.84,5.40,30.00,1
1,955.60,4.82,0.71,4.82,6.80,32.00,2
1,951.48,4.84,0.61,4.84,6.10,30.00,3
1,964.17,4.85,0.61,4.85,6.00,30.00,4
1,953.71,4.85,0.56,4.85,5.60,26.00,1
1,952.34,4.85,0.71,4.85,7.00,32.00,2
1,949.42,4.86,0.62,4.86,6.30,30.00,3
1,971.72,4.86,0.61,4.86,6.00,30.00,4
1,948.39,4.85,0.55,4.85,5.40,26.00,1
1,950.62,4.84,0.68,4.84,7.10,32.00,2
1,946.34,4.84,0.60,4.84,6.20,30.00,3
1,961.09,4.84,0.60,4.84,6.20,30.00,4
1,951.14,4.84,0.57,4.84,5.50,26.00,1
1,948.57,4.84,0.70,4.84,6.90,32.00,2
1,944.45,4.85,0.59,4.85,6.10,30.00,3
1,958.17,4.86,0.63,4.86,6.00,30.00,4
1,948.74,4.86,0.55,4.86,5.50,26.00,1
1,947.37,4.86,0.70,4.86,7.00,32.00,2
1,945.82,4.86,0.62,4.86,6.20,30.00,3
1,944.62,4.86,0.62,4.86,5.90,30.00,4
1,937.59,4.84,0.53,4.84,5.60,26.00,1
1,949.42,4.84,0.69,4.84,7.20,36.00,2
1,935.53,4.84,0.61,4.84,6.20,30.00,3
1,954.23,4.84,0.62,4.84,6.20,30.00,4
1,948.57,4.84,0.56,4.84,5.50,26.00,1
1,947.19,4.85,0.69,4.85,6.80,32.00,2
1,937.76,4.86,0.62,4.86,5.90,30.00,3
1,948.91,4.86,0.59,4.86,6.30,30.00,4
1,941.88,4.86,0.56,4.86,5.40,26.00,1
1,944.96,4.84,0.68,4.84,7.10,32.00,2
1,939.48,4.85,0.63,4.85,6.20,30.00,3
1,942.39,4.84,0.61,4.84,5.70,30.00,4
1,940.33,4.84,0.53,4.84,5.60,26.00,1
1,934.50,4.81,0.71,4.81,7.00,32.00,2
1,937.59,4.84,0.61,4.84,6.40,30.00,3
1,945.65,4.85,0.62,4.85,6.50,32.00,4
1,937.76,4.85,0.56,4.85,5.60,26.00,1
1,939.65,4.83,0.70,4.83,6.90,36.00,2
1,936.22,4.87,0.62,4.87,6.10,30.00,3
1,943.25,4.86,0.61,4.86,6.00,30.00,4
1,934.33,4.85,0.57,4.85,5.70,26.00,1
1,928.50,4.85,0.70,4.85,7.00,32.00,2
1,930.04,4.84,0.62,4.84,5.90,30.00,3
1,939.82,4.84,0.62,4.84,6.10,30.00,4
1,927.99,4.84,0.54,4.84,5.60,26.00,1
1,927.82,4.82,0.70,4.82,6.90,32.00,2
1,926.61,4.84,0.61,4.84,6.20,30.00,3
1,937.59,4.85,0.59,4.85,6.00,30.00,4
1,930.56,4.85,0.55,4.85,5.50,30.00,1
1,928.50,4.86,0.71,4.86,7.00,32.00,2
1,929.53,4.86,0.63,4.86,6.20,30.00,3
1,936.39,4.86,0.62,4.86,6.10,30.00,4
1,923.01,4.85,0.57,4.85,5.50,26.00,1
1,926.96,4.84,0.72,4.84,7.00,36.00,2
1,922.84,4.84,0.60,4.84,6.00,30.00,3
1,941.36,4.84,0.61,4.84,6.30,30.00,4
1,921.81,4.84,0.57,4.84,5.60,26.00,1
1,928.84,4.81,0.68,4.81,7.10,32.00,2
1,919.24,4.85,0.60,4.85,6.00,30.00,3
1,935.36,4.86,0.58,4.86,6.30,30.00,4
1,923.36,4.86,0.58,4.86,5.40,26.00,1
1,925.41,4.86,0.71,4.86,6.90,32.00,2
1,918.21,4.86,0.60,4.86,6.20,30.00,3
1,929.19,4.86,0.60,4.86,6.30,30.00,4
1,921.13,4.84,0.55,4.84,5.10,26.00,1
1,915.81,4.84,0.70,4.84,6.90,32.00,2
1,914.78,4.84,0.61,4.84,6.20,30.00,3
1,926.96,4.84,0.59,4.84,6.20,30.00,4
1,923.36,4.84,0.55,4.84,5.60,26.00,1
1,921.13,4.83,0.68,4.83,7.00,32.00,2
1,914.09,4.86,0.63,4.86,6.00,30.00,3
1,932.27,4.86,0.59,4.86,6.00,30.00,4
1,921.30,4.86,0.56,4.86,5.40,26.00,1
1,915.47,4.86,0.69,4.86,6.60,32.00,2
1,910.66,4.86,0.62,4.86,6.00,30.00,3
1,919.07,4.86,0.62,4.86,6.10,30.00,4
1,905.01,4.85,0.54,4.85,5.40,26.00,1
1,904.66,4.84,0.70,4.84,7.00,32.00,2
1,911.69,4.84,0.62,4.84,6.00,30.00,3
1,920.27,4.84,0.59,4.84,6.10,30.00,4
1,916.67,4.84,0.53,4.84,5.60,26.00,1
1,914.95,4.82,0.71,4.82,7.00,32.00,2
1,910.49,4.86,0.61,4.86,6.40,30.00,3
1,925.41,4.86,0.61,4.86,6.00,30.00,4
1,905.86,4.85,0.56,4.85,5.30,26.00,1
1,907.58,4.84,0.69,4.84,7.00,36.00,2
1,908.09,4.86,0.62,4.86,6.20,30.00,3
1,914.27,4.86,0.62,4.86,6.10,30.00,4
1,898.83,4.85,0.54,4.85,5.60,26.00,1
1,897.46,4.83,0.70,4.83,6.80,32.00,2
1,901.75,4.84,0.62,4.84,6.00,30.00,3
1,913.07,4.84,0.62,4.84,6.10,30.00,4
1,905.35,4.84,0.53,4.84,5.50,26.00,1
1,903.63,4.83,0.71,4.83,7.00,32.00,2
1,903.63,4.85,0.62,4.85,6.20,30.00,3
1,911.01,4.85,0.63,4.85,6.20,30.00,4
1,902.95,4.85,0.55,4.85,5.60,26.00,1
1,901.58,4.84,0.69,4.84,7.00,36.00,2
1,896.95,4.86,0.61,4.86,6.00,30.00,3
1,908.78,4.86,0.61,4.86,5.90,30.00,4
1,900.55,4.85,0.53,4.85,5.50,26.00,1
